Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,22,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,22,48,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,22,9,T:Microsoft.Maui.Controls.BindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,22,9,P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,48,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,48,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,9,T:Microsoft.Maui.Controls.BindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,9,P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
